AcademicGroup,AcademicOrganization,Subject,Catalog Number,Section,Class Number,Title,Instructor,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Waitlist Cap,Waitlist Total
,,BIO, 221,2,12881,Anatomy & Physiology I,"Laxer,Marc",85,86,-1,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,LIB-206,15,0
,,BIO, 223,1,12882,Anatomy & Physio Lab I,"Barrett,Diana Theresa",20,19,1,Open,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 223,2,12883,Anatomy & Physio Lab I,"Draghetti,Mary Christine",20,19,1,Open,Laboratory,Y,,,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,2,12883,Anatomy & Physio Lab I,"Draghetti,Mary Christine",20,19,1,Open,Laboratory,Y,,,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,3,12884,Anatomy & Physio Lab I,"Laxer,Marc",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-334,3,0
,,BIO, 223,3,12884,Anatomy & Physio Lab I,"Laxer,Marc",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-334,3,0
,,BIO, 223,4,12885,Anatomy & Physio Lab I,"Domenicali-Shah,Joanna",20,19,1,Open,Laboratory,,Y,,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,4,12885,Anatomy & Physio Lab I,"Domenicali-Shah,Joanna",20,19,1,Open,Laboratory,,Y,,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,5,12886,Anatomy & Physio Lab I,"Moritzen,Laura",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 223,5,12886,Anatomy & Physio Lab I,"Moritzen,Laura",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 223,6,12887,Anatomy & Physio Lab I,"Lauze,Jessie Frances",20,20,0,Closed,Laboratory,,,Y,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,6,12887,Anatomy & Physio Lab I,"Lauze,Jessie Frances",20,20,0,Closed,Laboratory,,,Y,,,,,5:00 PM,7:50 PM,SENG-334,5,0
,,BIO, 223,7,12888,Anatomy & Physio Lab I,"Hamlin,Karolyn Andrea Retrum",20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 223,7,12888,Anatomy & Physio Lab I,"Hamlin,Karolyn Andrea Retrum",20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 223,8,12889,Anatomy & Physio Lab I,"Laxer,Marc",20,20,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-334,5,0
